,,,,,,,,,,,
,Portfolio Summary: January - October Year on Year,,,,,,,,,,
,,,,,,ADR,ADR,DIFF,,,
,,April,£123,£109,-£13,"£54,759","£49,831","-£4,928",,,
,,May,£134,£113,-£21,"£63,632","£52,127","-£11,505",,,
,,June,£142,£135,-£7,"£65,751","£63,514","-£2,237",,,
,,July,£136,£143,£7,"£64,491","£66,277","£1,786",,,
,,August,£121,£113,-£8,"£55,720","£52,744","-£2,976",,,
,,September,£134,£134,£1,"£59,480","£63,137","£3,658",,,
,,October,£135,£127,-£8,"£60,801","£58,206","-£2,595",,,
,,November,£132,£126,-£6,"£58,814","£58,503",-£311,,,
,,December,£127,,-£127,"£58,974","£63,170","£4,196",,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,ADR,,,Revenue,,,,,
,Hyde Park Green,,2024,2025,+/-,2024,2025,+/-,,,
,,January,£98,£98,£0,"£47,528","£45,947","-£1,582",,,
,,February,£106,£103,-£3,"£50,118","£43,916","-£6,202",,,
,,March,£125,£111,-£14,"£62,711","£58,464","-£4,247",,,
,,April,£137,£123,-£14,"£65,520","£65,731",£212,,,
,,May,£153,£134,-£19,"£74,363","£76,022","£1,659",,,
,,June,£174,£167,-£8,"£89,638","£91,913","£2,275",,,
,,July,£170,£190,£20,"£91,318","£108,726","£17,407",,,
,,August,£145,£156,£11,"£73,693","£87,186","£13,492",,,
,,September,£136,£159,£23,"£70,494","£88,609","£18,115",,,
,,October,£141,£165,£24,"£77,501","£90,218","£12,717",,,
,,November,£126,£166,£40,"£66,645","£89,389","£22,744",,,
,,December,£145,£169,£23,"£80,004","£92,794","£12,789",,,
