group,service,name,externalName,description,id,shortName,externalId,active,enabled,public,isDefault,type,model,baseRateName,baseRateId,relPct,abs,baseAmountGross,currency,chainDepth,chain
Direct: Flexible,Short Stay Accommodation,AUTO M&F Insider - Best Flexible Rate,M&F Insider - Best Flexible Rate,"Enjoy more flexibility, with our Insider Rate, you can modify or cancel your reservation up to 24 hours before your stay - get 10% off our Best Flexible Rate, an exclusive benefit when you book direct. Plus, join us in our guest kitchen for a daily help-yourself breakfast - on us!",eac8501c-9782-4056-b0a9-b13a00e7674b,Direct SS,MFFLEX,true,false,true,false,Public,Base,,,,,170,GBP,0,
Direct: Flexible,Short Stay Accommodation,AUTO M&F Insider - Best Flexible Rate,AUTO M&F Insider - Best Flexible Rate,"Enjoy more flexibility, with our Insider Rate, you can modify or cancel your reservation up to 24 hours before your stay - get 10% off our Best Flexible Rate, an exclusive benefit when you book direct. Plus, join us in our guest kitchen for a daily help-yourself breakfast - on us!",b062f064-0262-40b3-8d52-b44e011e4027,AUTO M&F Insider - Best Flexible Rate,,true,true,true,true,Public,Dependent,OTA BASE: Flexible,7866223e-308e-472d-bdad-b42800c4619e,-24%,0,,GBP,1,OTA BASE: Flexible
Direct: Non Refundable,Short Stay Accommodation,AUTO M&F Early Bird - Best Direct Rate,AUTO M&F Early Bird - Best Direct Rate,"Book early for even better rates. Our Early Bird Rate offers the best value for guests who plan ahead and book direct. Plus, join us in our guest kitchen for a daily help-yourself breakfast, on us. This special rate requires full payment at the time of booking and is non-refundable and non-changeable.",183f39c1-2d9c-49ff-b707-b44e011e7955,AUTO M&F Early Bird - Best Direct Rate,,true,true,true,false,Public,Dependent,OTA BASE: Flexible,7866223e-308e-472d-bdad-b42800c4619e,-31.60%,0,,GBP,1,OTA BASE: Flexible
Direct: Non Refundable,Short Stay Accommodation,AUTO M&F Early Bird - Best Direct Rate (1N),M&F Early Bird - Best Direct Rate,"Book early for even better rates. Our Early Bird Rate offers the best value for guests who plan ahead and book direct. Plus, join us in our guest kitchen for a daily help-yourself breakfast, on us. This special rate requires full payment at the time of booking and is non-refundable and non-changeable.",534d8dae-2def-4eb7-83ce-b2df01252158,AMEBBDRN,,true,false,true,false,Public,Dependent,AUTO M&F Insider - Best Flexible Rate,eac8501c-9782-4056-b0a9-b13a00e7674b,-10%,40,,GBP,1,AUTO M&F Insider - Best Flexible Rate
Events,Management ,INTERNAL - EVENTS,EVENTS,,7fb2eceb-a5f3-4c84-84b6-b38b00d9dcee,IE,,true,true,false,false,Private,Base,,,,,0,GBP,0,
Extended Stay,Short Stay Accommodation,Long Stays,Long Direct Stay,,b8148cf3-523d-4946-b84e-b14d009e1240,Direct LS,DLS,true,true,false,false,Private,Base,,,,,125,GBP,0,
Extended Stay Offer,Short Stay Accommodation,Extended Stay Offer,Extended Stay Offer,,e830a67e-94da-4e4c-b184-b25d011ffce7,Extended Stay Offer,,false,true,false,false,Private,Base,,,,,10000,GBP,0,
Friends & Staff,Short Stay Accommodation,Friends & Family,,,26186728-068a-40f1-8a1e-b4410128cbcb,FF,,true,true,false,false,Private,Dependent,AUTO M&F Insider - Best Flexible Rate,eac8501c-9782-4056-b0a9-b13a00e7674b,-25%,0,,GBP,1,AUTO M&F Insider - Best Flexible Rate
Friends & Staff,Short Stay Accommodation,M&F Staff,M&F Staff,,10f1e64a-bf37-4ccd-948c-b44101290c1b, M&F Staff,,true,true,false,false,Private,Base,,,,,150,GBP,0,
Friends & Staff,Short Stay Accommodation,MANUAL - MANAGEMENT,Management,,1793dbd3-7a65-41f7-9d3a-b32500aec37f,Management,,true,false,false,false,Private,Base,,,,,0,GBP,0,
